day,current,phi,stage,stage_combined
0,0.1137,0.0,H,H
1,0.1088,-0.0035345884729135,H,H
2,0.1154,0.0012262857967251,H,H
3,0.1226,0.006419966818149,H,H
4,0.1088,-0.0035345884729135,H,H
5,0.1091,-0.0033181850970208,H,H
6,0.1238,0.0072855803217196,H,H
7,0.1176,0.0028132438866046,H,H
8,0.1079,-0.0041837986005915,H,H
9,0.1163,0.001875495924403,H,H
10,0.1085,-0.0037509918488061,H,H
11,0.1087,-0.0036067229315443,H,H
12,0.1146,0.0006492101276779,H,H
13,0.0976,-0.0116136478395729,H,H
14,0.0993,-0.0103873620428478,H,H
15,0.1089,-0.0034624540142826,H,H
16,0.1055,-0.0059150256077328,H,H
17,0.1164,0.0019476303830339,H,H
18,0.1069,-0.0049051431869003,H,H
19,0.1031,-0.0076462526148741,H,H
20,0.1264,0.0091610762461227,H,H
21,0.1131,-0.0004328067517853,H,H
22,0.1157,0.0014426891726177,H,H
23,0.104,-0.0069970424871961,H,H
24,0.1113,-0.0017312270071413,H,H
25,0.1168,0.0022361682175575,H,H
26,0.1069,-0.0049051431869003,H,H
27,0.1194,0.0041116641419606,H,H
28,0.1118,-0.0013705547139868,H,H
29,0.1145,0.0005770756690471,H,H
30,0.1123,-0.0010098824208324,H,H
31,0.1322,0.0133448748467142,H,H
32,0.1175,0.0027411094279737,H,H
33,0.1094,-0.0031017817211281,H,H
34,0.1247,0.0079347904493976,H,H
35,0.1086,-0.0036788573901752,H,H
36,0.1203,0.0047608742696386,H,H
37,0.1032,-0.0075741181562432,H,H
38,0.1085,-0.0037509918488061,H,H
39,0.121,0.0052658154800548,H,H
40,0.1255,0.0085118661184447,H,H
41,0.1213,0.0054822188559474,H,H
42,0.1192,0.0039673952246988,H,H
43,0.118,0.0031017817211281,H,H
44,0.1088,-0.0035345884729135,H,H
45,0.1151,0.0010098824208324,H,H
46,0.1175,0.0027411094279737,H,H
47,0.1299,0.0116857822982038,H,H
48,0.1244,0.007718387073505,H,H
49,0.1078,-0.0042559330592223,H,H
50,0.1248,0.0080069249080285,H,H
51,0.1193,0.0040395296833297,H,H
52,0.1173,0.0025968405107119,H,H
53,0.1278,0.0101709586669552,H,H
54,0.1314,0.0127677991776671,H,H
55,0.1309,0.0124071268845127,H,H
56,0.117,0.0023804371348193,H,H
57,0.1215,0.0056264877732092,H,H
58,0.1269,0.0095217485392772,H,H
59,0.1323,0.0134170093053451,H,H
60,0.1209,0.0051936810214239,H,H
61,0.1235,0.007069176945827,H,H
62,0.1164,0.0019476303830339,H,H
63,0.1159,0.0015869580898795,H,H
64,0.1322,0.0133448748467142,H,H
65,0.1368,0.0166630599437351,H,H
66,0.1257,0.0086561350357065,H,H
67,0.1345,0.0150039673952247,H,H
68,0.1297,0.011541513380942,H,H
69,0.1219,0.0059150256077328,H,H
70,0.1302,0.0119021856740965,H,H
71,0.1398,0.0188270937026617,H,H
72,0.1275,0.0099545552910625,H,H
73,0.1406,0.0194041693717088,H,H
74,0.1073,-0.0046166053523768,H,H
75,0.1351,0.01543677414701,H,H
76,0.1295,0.0113972444636803,H,H
77,0.1267,0.0093774796220154,H,H
78,0.1301,0.0118300512154656,H,H
79,0.1137,0.0,H,H
80,0.1281,0.0103873620428478,H,H
81,0.133,0.0139219505157613,H,H
82,0.1422,0.020558320709803,H,H
83,0.1265,0.0092332107047536,H,H
84,0.1244,0.007718387073505,H,H
85,0.1271,0.0096660174565389,H,H
86,0.1387,0.0180336146577219,H,H
87,0.1343,0.0148596984779629,H,H
88,0.1277,0.0100988242083243,H,H
89,0.1363,0.0163023876505806,H,H
90,0.1332,0.0140662194330231,H,H
91,0.1405,0.0193320349130779,H,H
92,0.1274,0.0098824208324316,H,H
93,0.1306,0.01219072350862,H,H
94,0.1304,0.0120464545913582,H,H
95,0.1221,0.0060592945249945,H,H
96,0.1364,0.0163745221092115,H,H
97,0.1364,0.0163745221092115,H,H
98,0.1346,0.0150761018538555,H,H
99,0.1329,0.0138498160571304,H,H
100,0.1238,0.0072855803217196,H,H
101,0.132,0.0132006059294525,H,H
102,0.1329,0.0138498160571304,H,H
103,0.1294,0.0113251100050494,H,H
104,0.1348,0.0152203707711173,H,H
105,0.1396,0.0186828247853999,H,H
106,0.1517,0.0274110942797374,H,H
107,0.1383,0.0177450768231984,H,H
108,0.1392,0.0183942869508764,H,H
109,0.1369,0.016735194402366,H,H
110,0.1224,0.0062756979008872,H,H
111,0.1378,0.017384404530044,H,H
112,0.1387,0.0180336146577219,H,H
113,0.1582,0.0320998340907451,H,H
114,0.1372,0.0169515977782586,H,H
115,0.1415,0.0200533794993868,H,H
116,0.139,0.0182500180336146,H,H
117,0.1302,0.0119021856740965,H,H
118,0.149,0.0254634638967034,H,H
119,0.1461,0.0233715645964077,H,H
120,0.1467,0.023804371348193,H,H
121,0.1334,0.0142104883502849,H,H
122,0.1521,0.0276996321142609,H,H
123,0.13,0.0117579167568347,H,H
124,0.1461,0.0233715645964077,H,H
125,0.1592,0.032821178677054,H,H
126,0.134,0.0146432951020702,H,H
127,0.1377,0.0173122700714131,H,H
128,0.1433,0.0213517997547428,H,H
129,0.1387,0.0180336146577219,H,H
130,0.1306,0.01219072350862,H,H
131,0.1439,0.0217846065065281,H,H
132,0.1351,0.01543677414701,H,H
133,0.1476,0.024453581475871,H,H
134,0.1368,0.0166630599437351,H,H
135,0.1568,0.0310899516699127,H,H
136,0.1384,0.0178172112818293,H,H
137,0.1424,0.0207025896270648,H,H
138,0.1517,0.0274110942797374,H,H
139,0.1356,0.0157974464401644,H,H
140,0.1476,0.024453581475871,H,H
141,0.1565,0.03087354829402,H,H
142,0.1334,0.0142104883502849,H,H
143,0.148,0.0247421193103945,H,H
144,0.1489,0.0253913294380725,H,H
145,0.1533,0.0285652456178316,H,H
146,0.1375,0.0171680011541513,H,H
147,0.1371,0.0168794633196277,H,H
148,0.1521,0.0276996321142609,H,H
149,0.1506,0.0266176152347976,H,H
150,0.1505,0.0265454807761667,H,H
151,0.1515,0.0272668253624756,H,H
152,0.1436,0.0215682031306355,H,H
153,0.1511,0.0269782875279521,H,H
154,0.1519,0.0275553631969992,H,H
155,0.1441,0.0219288754237899,H,H
156,0.165,0.0370049772776455,H,H
157,0.1541,0.0291423212868787,H,H
158,0.1411,0.0197648416648633,H,H
159,0.1562,0.0306571449181273,H,H
160,0.1434,0.0214239342133737,H,H
161,0.1578,0.0318112962562215,H,H
162,0.161,0.03411959893241,H,H
163,0.1454,0.0228666233859914,H,H
164,0.16,0.0333982543461011,H,H
165,0.1559,0.0304407415422347,H,H
166,0.1594,0.0329654475943157,H,H
167,0.1683,0.0393854144124648,H,H
168,0.1514,0.0271946909038447,H,H
169,0.1476,0.024453581475871,H,H
170,0.1468,0.0238765058068239,H,H
171,0.1477,0.0245257159345019,H,H
172,0.1539,0.0289980523696169,H,H
173,0.1575,0.0315948928803289,H,H
174,0.1572,0.0313784895044362,H,H
175,0.1619,0.0347688090600879,H,H
176,0.1557,0.0302964726249729,H,H
177,0.1675,0.0388083387434177,H,H
178,0.154,0.0290701868282478,H,H
179,0.1782,0.0465267258169227,H,H
180,0.1617,0.0346245401428262,H,H
181,0.1501,0.0262569429416432,H,H
182,0.1487,0.0252470605208107,H,H
183,0.1614,0.0344081367669335,H,H
184,0.156,0.0305128760008656,H,H
185,0.1638,0.0361393637740748,H,H
186,0.1622,0.0349852124359806,H,H
187,0.1581,0.0320276996321142,H,H
188,0.1522,0.0277717665728918,H,H
189,0.1471,0.0240929091827165,H,H
190,0.1559,0.0304407415422347,H,H
191,0.1666,0.0381591286157397,H,H
192,0.1618,0.0346966746014571,H,H
193,0.1504,0.0264733463175358,H,H
194,0.162,0.0348409435187188,H,H
195,0.164,0.0362836326913366,H,H
196,0.1541,0.0291423212868787,H,H
197,0.1627,0.0353458847291351,H,H
198,0.1622,0.0349852124359806,H,H
199,0.1529,0.028276707783308,H,H
200,0.1652,0.0371492461949073,H,H
201,0.1671,0.0385198009088941,H,H
202,0.1715,0.0416937170886532,H,H
203,0.1716,0.0417658515472841,H,H
204,0.1524,0.0279160354901536,H,H
205,0.1562,0.0306571449181273,H,H
206,0.1681,0.039241145495203,H,H
207,0.1684,0.0394575488710957,H,H
208,0.1687,0.0396739522469883,H,H
209,0.1957,0.0591502560773281,D,D
210,0.1697,0.0403952968332972,H,H
211,0.1745,0.0438577508475798,H,H
212,0.1733,0.0429921373440092,H,H
213,0.1712,0.0414773137127605,H,H
214,0.1637,0.036067229315444,H,H
215,0.1726,0.042487196133593,H,H
216,0.1606,0.0338310610978864,H,H
217,0.1652,0.0371492461949073,H,H
218,0.1635,0.0359229603981822,H,H
219,0.1683,0.0393854144124648,H,H
220,0.1865,0.0525138858832864,D,D
221,0.1533,0.0285652456178316,H,H
222,0.174,0.0434970785544254,H,H
223,0.1559,0.0304407415422347,H,H
224,0.1653,0.0372213806535382,H,H
225,0.1781,0.0464545913582918,H,H
226,0.1702,0.0407559691264517,H,H
227,0.1614,0.0344081367669335,H,H
228,0.1645,0.036644304984491,H,H
229,0.176,0.0449397677270432,H,H
230,0.165,0.0370049772776455,H,H
231,0.1729,0.0427035995094856,H,H
232,0.1718,0.0419101204645459,H,H
233,0.1665,0.0380869941571088,H,H
234,0.1891,0.0543893818076895,D,D
235,0.1774,0.0459496501478756,H,H
236,0.1564,0.0308014138353891,H,H
237,0.1744,0.043785616388949,H,H
238,0.1679,0.0390968765779412,H,H
239,0.1803,0.0480415494481713,H,H
240,0.1674,0.0387362042847868,H,H
241,0.1731,0.0428478684267474,H,H
242,0.1783,0.0465988602755536,H,H
243,0.1815,0.048907162951742,H,H
244,0.1653,0.0372213806535382,H,H
245,0.1725,0.0424150616749621,H,H
246,0.1717,0.041837986005915,H,H
247,0.1705,0.0409723725023443,H,H
248,0.1902,0.0551828608526293,D,D
249,0.1796,0.0475366082377551,H,H
250,0.1665,0.0380869941571088,H,H
251,0.1843,0.0509269277934069,D,D
252,0.1942,0.0580682391978648,D,D
253,0.1858,0.0520089446728702,D,D
254,0.1657,0.0375099184880617,H,H
255,0.1742,0.0436413474716872,H,H
256,0.1885,0.0539565750559042,D,D
257,0.173,0.0427757339681165,H,H
258,0.1825,0.0496285075380509,H,H
259,0.1855,0.0517925412969775,D,D
260,0.1721,0.0421265238404385,H,H
261,0.1794,0.0473923393204934,H,H
262,0.1542,0.0292144557455096,H,H
263,0.1723,0.0422707927577003,H,H
264,0.1787,0.0468873981100771,H,H
265,0.1711,0.0414051792541297,H,H
266,0.1944,0.0582125081151265,D,D
267,0.1702,0.0407559691264517,H,H
268,0.1784,0.0466709947341845,H,H
269,0.1833,0.050205583207098,D,D
270,0.194,0.057923970280603,D,D
271,0.1713,0.0415494481713914,H,H
272,0.1924,0.0567698189425088,D,D
273,0.1835,0.0503498521243598,D,D
274,0.1758,0.0447954988097814,H,H
275,0.1877,0.0533794993868571,D,D
276,0.1859,0.0520810791315011,D,D
277,0.1798,0.0476808771550169,H,H
278,0.1854,0.0517204068383466,D,D
279,0.1821,0.0493399697035273,H,H
280,0.1864,0.0524417514246555,D,D
281,0.1911,0.0558320709803072,D,D
282,0.1988,0.0613864242948856,D,D
283,0.1765,0.0453004400201976,H,H
284,0.2037,0.0649210127677991,D,D
285,0.1714,0.0416215826300223,H,H
286,0.1861,0.0522253480487628,D,D
287,0.1923,0.0566976844838779,D,D
288,0.1901,0.0551107263939984,D,D
289,0.1832,0.0501334487484671,D,D
290,0.1868,0.0527302892591791,D,D
291,0.1848,0.0512876000865613,D,D
292,0.1844,0.0509990622520378,D,D
293,0.1962,0.0595109283704825,D,D
294,0.1925,0.0568419534011397,D,D
295,0.1844,0.0509990622520378,D,D
296,0.1975,0.0604486763326841,D,D
297,0.193,0.0572026256942941,D,D
298,0.1974,0.0603765418740532,D,D
299,0.1962,0.0595109283704825,D,D
300,0.1849,0.0513597345451922,D,D
301,0.1873,0.0530909615523335,D,D
302,0.1981,0.0608814830844694,D,D
303,0.1973,0.0603044074154223,D,D
304,0.1925,0.0568419534011397,D,D
305,0.1939,0.0578518358219721,D,D
306,0.2035,0.0647767438505373,D,D
307,0.1889,0.0542451128904277,D,D
308,0.1983,0.0610257520017312,D,D
309,0.1926,0.0569140878597706,D,D
310,0.1928,0.0570583567770323,D,D
311,0.2036,0.0648488783091682,D,D
312,0.2017,0.0634783235951814,D,D
313,0.2019,0.0636225925124431,D,D
314,0.2062,0.0667243742335713,D,D
