t_min,HI,stage
0.0,0.004291090895792827,H
1.0,0.0,H
2.0,0.001163978812194079,H
3.0,0.006593864539509668,H
4.0,0.005861990686724225,H
5.0,0.010659861949883581,H
6.0,0.061621536606144195,H
7.0,0.06975007924155333,H
8.0,0.09680385261392956,H
9.0,0.07684610739269916,H
10.0,0.2563018443259979,H
11.0,0.199059424462099,H
12.0,0.23655366558335225,H
13.0,0.2618874130121852,H
14.0,0.2408795378765182,H
15.0,0.20455109599686555,H
16.0,0.21220322876661982,H
17.0,0.201818292347244,H
18.0,0.2073907205675134,H
19.0,0.20238450291692153,H
20.0,0.21537310705977622,H
21.0,0.22952482728605977,H
22.0,0.3112017340515018,D
23.0,0.28186415095153333,D
24.0,0.31231011479298754,D
25.0,0.29674345988342826,D
26.0,0.3085445827100993,D
27.0,0.32394278235177176,D
28.0,0.32002375446992876,D
29.0,0.3875993120395586,D
30.0,0.40140504353159173,D
31.0,0.41676650887037175,D
32.0,0.4489406740127311,D
33.0,0.47313403138341464,D
34.0,0.4507057552530817,D
35.0,0.46736861078343056,D
36.0,0.4568691700727702,D
37.0,0.4489820455945876,D
38.0,0.4870504753685568,D
39.0,0.4739527165118906,D
40.0,0.4807799107031624,D
41.0,0.4927404137223013,D
42.0,0.5310975632273311,D
43.0,0.5232252288471336,D
44.0,0.5224240603385337,D
45.0,0.5108595451312707,D
46.0,0.49040305766554465,D
47.0,0.4788897568389948,D
48.0,0.5539675305685139,D
49.0,0.45935786891353814,D
50.0,0.4626096190096506,D
51.0,0.4841462369970915,D
52.0,0.5373502552989374,D
53.0,0.5208321252102903,D
54.0,0.4807728248485425,D
55.0,0.44169937184344454,D
56.0,0.43289164338152714,D
57.0,0.46488801611972486,D
58.0,0.5321360784877656,D
59.0,0.5224275384379663,D
60.0,0.4405287202280079,D
61.0,0.48651311769116784,D
62.0,0.4706681675100169,D
63.0,0.5457530423396775,D
64.0,0.5120708383834911,D
65.0,0.49393425894107934,D
66.0,0.5465512751272348,D
67.0,0.5156687132186848,D
68.0,0.4626014763736394,D
69.0,0.48697829146654337,D
70.0,0.515538292354894,D
71.0,0.5761142399871657,D
72.0,0.573299353730478,D
73.0,0.6728562082915691,D
74.0,0.7367923693893671,D
75.0,0.7150990222551975,D
76.0,0.7380031573348901,D
77.0,0.6194439769291663,D
78.0,0.5863935580189605,D
79.0,0.5343731707631166,D
80.0,0.4903311751831272,D
81.0,0.49488683305178643,D
82.0,0.5756362449771433,D
83.0,0.565914015837328,D
84.0,0.5283098810463466,D
85.0,0.5919309302434309,D
86.0,0.8101341452027336,D
87.0,0.7013606906546002,D
88.0,0.7393224239652137,D
89.0,0.673898106159472,D
90.0,0.6925220318137673,D
91.0,0.6700254476483456,D
92.0,0.6693785097128118,D
93.0,0.7571749155245163,D
94.0,0.7213804702130683,D
95.0,0.7358866015161928,D
96.0,0.7807745056817934,D
97.0,0.743022963167989,D
98.0,0.7789039180664937,D
99.0,0.8126129227806049,D
100.0,0.8246929418125265,D
101.0,0.8508465871190563,D
102.0,0.8685773541440062,D
103.0,0.8454545430968902,D
104.0,0.8344162558431889,D
105.0,0.8962141277912704,D
106.0,0.8805420359849057,D
107.0,0.8990353059736947,D
108.0,0.8710417495640757,D
109.0,0.949682287648254,F
110.0,0.8976779558052967,F
111.0,0.9053613269610088,F
112.0,0.9584873424541583,F
113.0,1.0,F
